gtip_kodu,gtip_tanimi
152000001000,Ham gliserol
270730000000,Ksilol (ksilen)
280110000000,Klor
280300009011,İskarası
280300009019,Diğer karbon karaları ve diğer şekillerde karbon
280410000000,Hidrojen
280429100000,Helyum (Asal gaz)
280469000000,"Silisyum (ağırlık itibariyle < % 99, 99 silisyum içerenler)"
280480000000,Arsenik
280700000019,Diğer sülfirik asit
280920000017,Orto fosforik asitler (fosforik asit ); gıda sanayii dışında kullanılanlar
281410000000,Saf amonyak
281511000000,Sodyum hidroksit (kostik soda) katı halde
281512000000,Sodyum hidroksit (kostik soda) sıvı çözeltileri
281520000000,Potasyum hidroksit (kostik potas)
281830000000,Alüminyum hidroksit
282200000011,Kobalt oksitleri
282200000012,Ticari kobalt oksitleri
282200000013,Kobalt hidroksitleri
282520000000,Lityum oksit ve hidroksit
282580000000,Antimuan oksitleri
282690801000,Potasyum florborat ve potasyumun diğer kompleks flor tuzları
282690809012,Sodyum florborat ve sodyumun diğer kompleks flor tuzları
282690809019,Diğer kompleks flor tuzları
282759002000,Diğer bromürler
283421000000,Potasyum nitrat
283524000000,Potasyum fosfat
283650000000,Kalsiyum karbonat
283691000000,Lityum karbonatlar
283699901000,Sodyum perkarbonatlar
283711000011,Sodyum siyanürler
284210000000,Kompleks/çift silikatlar
284390902011,Platin tuzları
284390902015,Radyum tuzları
284390909000,Kıymetli metallerin diğer bileşikleri
284440200012,Radyoaktif fosfor
284440200014,Radyoaktif kobalt
290124000000,"1,3 - Butadien ve izopren"
290211000000,Siklohekzan
290220000000,Benzen (benzol)
290230000000,Tolüen (toluol)
290243000000,p; ksilen
290250000000,Stiren (vinil benzen)
290270000000,Kümen (izopropil benzen)
290321000000,Vinil klorür (kloretilen) doymamış
290339260000,"1,1,1,2 - tetrafloretan (HFC-134-a)"
290339310000,"2,3,3,3 - Tetraflorpropen"
290420000012,Nitrobenzen
290511001011,Saf metil alkol (dökme olanlar)
290512000012,İzopropil alkol
290516850019,Oktanol (oktil alkol) ve izomerleri; diğer
290531000000,Dioller-etilen glikol (etandiol)
290532000000,"Propilen glikol (1, 2-propandiol)"
290545000000,Gliserin
290549009010,Ksilitol
290711001000,"Fenol (hidroksibenzen, fenik asit)"
290723000011,"4, 4'- İzopropilidendifenol"
290729008019,Diğer polifenoller ve tuzları
290919900013,Metil tersiyer bütil eter (MTBE)
290941000000,"Dietilen glikol (2, 2'-oksidietanol) (digol)"
290949809019,Asiklik eter alkoller ve türevleri; diğer
291010000000,Etilen oksit (oksiran)
291020000000,Propilen oksit (metiloksiran)
291411000000,Aseton (propanon)
291521000011,Glasiyel asetikasit (buzlu asetikasit)
291521000012,Ticari asetik asit
291531000000,Etil asetat
291532000000,Vinil asetat
291590700049,"Diğer doymuş asiklik monokarboksilik asitler,bunların halojenlenmiş,sülfolanmış,nitrolanmış veya nitrozolanmış türevleri"
291611001000,Akrilik asit
291612000013,Butil akrilat
291614000011,Metil metakrilat
291614000019,Metakrilik asitin diğer esterleri
291619959000,Diğer doymamış asiklik monokarboksilik asitler ve türevleri
291639909019,"Diğer aromatik monokarboksilik asitler, bunların anhidritleri, halojenürleri, peroksitleri, peroksiasitleri ve türevleri"
291712000011,Adipik asit
291714000000,Maleik anhidrit
291719800019,Diğer asiklik polikarboksilik asitler
291735000000,Ftalik anhidrit
291736000011,Tereftalik asit
291814000000,Sitrik asit
291816000013,Sodyum glukonat
291819300000,"Kolik asit ve deoksikolik asit vb. tuzları, esterleri"
291819989000,Diğer karboksilik asitler ve türevleri; alkol fonksiyonlu grubu olan başka oksijen fonksiyonlu grubu olmayan
291829008919,Fenol fonksiyonlu grubu olan fakat başka oksijen fonksiyonlu grubu olmayan diğer karboksilik asitler ve türevleri
292122000011,Hekzametilendiamin
292141000011,Anilin
292149000039,Diğer aromatik monoaminler ve türevleri
292219000028,"Oksijen gruplu diğer amino alkoller, bunların eterleri ve esterleri ve bunların tuzları"
292229009011,Aminofenoller (o-m-p)
292229009019,"Diğer anizidinler, dianizidinler, fenetidinler ve bunların tuzları"
292249859033,Etilendiamintetraasetik asitin sodyum tuzları
292249859035,Pregabalin
292249859036,Gabapentin
292249859039,"Diğer amino asitler (bir cinsten fazla oksijenli grubu bulunanlar hariç), esterleri ve bunların tuzları"
292250009014,Fluoxetin (INN)
292250009019,"Diğer amino-alkol fenoller, diğer amino-asit fenoller ve oksijen gruplu diğer amino bileşikleri"
292529000019,Diğer iminler ve türevleri; bunların tuzları
292610000000,Akrilonitril
292690700018,Verapamil hidroklorür
292690700028,Nitril gruplu diğer bileşikler
292910000011,Metilfenilen diizosiyanatlar (toluen diizosiyanatlar)
292910000029,Diğer izosiyanatlar
293040900000,Diğer methionin
293090160000,Sistein ve sistinin türevleri
293090989068,Kükürtlü organik diğer bileşikler
293190009068,Diğer organo-inorganik bileşiklerin diğerleri
293299005019,Diğer halkalı eterler
293299009019,Sadece oksijenli heterosiklik bileşiklerin diğerleri
293329900019,Yapısında başka halkaya yapışmamış bir imizadol halkası olan diğer bileşikler
293333000018,Fentanyl (INN)
293333000024,Pethidine (INN)
293339990027,Remifentanil
293339990039,Yapısında başka bir halkaya yapışmamış piridin halkası olan diğer bileşikler
293349900029,Kinolin/izokinolin halka sistemleri olan diğer bileşikler
293361000000,Melamin
293371000000,Epsilon kaprolaktam (6 hekzanelaktam)
293379000019,Diğer laktamlar
293391900016,Diazepam (INN)
293399809014,Monoazepinler
293399809049,Sadece azotlu heterosiklik bileşiklerin diğerleri
293499909013,Tiyokonazol
293499909027,Diğer nükleik asitler ve bunların tuzları ve diğer heterosiklik bileşikler
293980000000,"Diğer alkaloidler ve bunların tuzları, eterleri, esterleri ve diğer türevleri"
294200000029,Diğer organik bileşikler
310210100000,"Üre; kuru anhidrit ürün üzerinden, azot miktarı ağırlık olarak >%45"
310210900000,"Üre; kuru anhidrit ürün üzerinden, azot miktarı ağırlık olarak <=%45"
310221000000,Amonyum sülfat
310420500000,"Potasyum klorür; kuru anhidrit ürün üzerinden, % 40 K2O oranı =<%62"
310540000011,Amonyum dihidrojenortofosfat (monoamonyum fosfat)
310559000011,"Azot, fosforlu gübreler kuru anhidrit ürün üzerinden, azot oranı =>%10"
320300109000,Bitkisel menşeli boyayıcı diğer maddeler ve esası bitkisel menşeli boyayıcı madde olan diğer müstahzarlar
320411000000,Dağılan boyalar ve esası bu boyalar olan müstahzarlar
320412000011,Asit boyalar
320413000000,Bazik boyalar ve esası bu boyalar olan müstahzarlar
320415000000,Vat boyalar ve esası bu boyalar olan müstahzarlar (pigment kullanılanlar dahil)
320416000000,Reaktif boyalar ve esası bu boyalar olan müstahzarlar
320417000011,Pigmentler
320419000011,Kükürtlü boyalar
320419000019,Sentetik organik boyayıcı maddeler; diğer
320490000000,Sentetik organik boyayıcı maddeler ve müstahzarları; diğer
320611000000,Esası titandioksit olan pigment ve müstahzarlar titandioksit oranı = >%80
320890910019,Diğer sentetik vernikler; esası sentetik polimer olanlar
320890910029,Diğer sentetik boyalar; esası sentetik polimer olanlar
320990000000,"Sentetik esaslı diğer polimerler, sulu ortamda eriyen/dağılan boya ve vernikler"
321000900011,Zehirli boyalar (antifouling boyalar)
321210000000,Istampacılığa mahsus varaklar
321410100012,Plastik esaslı macunlar
321519000000,Diğer baskı mürekkepleri (konsantre edilmiş veya katı halde olsun olmasın)
330190100000,Uçucu yağların terpeninin alınmasından arta kalan yan ürünleri
330190301000,Ekstraksiyonla elde edilen diğer yağ reçineleri; tıbbi
330190309000,Ekstraksiyonla elde edilen diğer yağ reçineleri;diğerleri
330210290000,"İçecek sanayiinde kullanılan diğer müstahzarlar;tat vericileri içeren;alkol oranı=<%0,5;diğerleri"
330210401000,İçeceklerin imalinde kullanılan türden esası koku verici maddeler olan müstah.
330290100000,Alkollü çözeltiler
330290900000,Esası koku verici maddeler olan diğer müstahzarlar
330300900019,Diğer tuvalet suları
330420000000,Göz makyaj müstahzarları
330499009013,"Vücut losyonları, kremler, emülsiyonlar ve yağlar"
330499009019,"Güzellik, makyaj, cilt bakımı, manikür, pedikür için diğer müstahzarlar (ilaçlar hariç, güneş kremleri dahil)"
330590001000,Saç boyaları
330610000000,Diş macunları/tozları
340213000000,Yüzey aktif organik maddeler; iyonlu olmayanlar
340290100012,Sabun içermeyen yüzey aktif müstahzarlar (toptan)
340319800000,Petrol yağları veya bitümenli minerallerden elde edilen yağları içeren diğer yağlayıcılar
340399000000,Diğer yağlama müstahzarları
340420000000,Suni mumlar ve müstahzar mumlar; Poli(oksietilen) (polietilen glikol)den elde edilenler
350790900019,Diğer enzimler
370130000029,Diğer boş fotoğraf levhaları ve filmler (herhangi bir kenarı 255 mm.yi geçenler)
370790900000,Fotoğrafçılıkta kullanılan diğer kimyasal müstahzarlar
380630001000,"Ester sakızları; sıvı veya hamur halde veya blok, parça , pıhtı, şekilsiz külçe, granül, pul ve toz halinde olanlar"
380892500000,Zararlı mantarları yok ediciler; esası diazol veya triazol olanlar
380892900019,Zararlı mantarı diğer yok ediciler
380893270019,Zararlı bitkileri yok edici diğer inorganikler
380899900019,"Diğer bitkileri koruyucu, geliştirici müstahsallar (diğerleri)"
381121001000,Mineral yağlar/benzeri sıvı yağlar için müstahzar katkılar; petrol yağı içeren
381190001011,Ağır mineral yağlar için müstahzar katkılar
381210000000,Vulkanizasyon çabuklaştırıcı müstahzarlar
381512000000,Takviye edilmiş katalizatörler; aktif maddesi kıymetli metal/kıymetli metal bileşikleri
381590900000,"Diğer reaksiyon başlatıcılar, hızlandırıcılar ve katalitik müstahzarlar"
381700500000,Lineer alkilbenzen
381800900000,Dope edilmiş diğer kimyasal elementler (elektronikte kullanılmak üzere)
382100000000,Mikroorganizmaların geliştirilmesinde kullanılan müstahzar kültür ortamları
382200001000,Laboratuvarlarda/teşhiste kullanılan reaktifler emdirilmiş/sıvanmış plastik plaka/levha/yaprak/şerit
382200003000,Laboratuvarda/teşhiste kullanılan reaktifler emdirilmiş/sıvanmış plastik plaka/levha/yaprak/şerit(ölçüye göre kesilmiş)
382200009011,DNA temelli biyolojik işaretleyiciler
382200009019,"Laboratuvarlarda/teşhiste kullanılan DİĞER reaktifler/müstahzar reaktifler (30.02, 30.06 hariç) ve standart maddeleri"
382311000000,"Stearik asit (Sınai monokarboksilik, rafinaj mahsulü)"
382319100000,Damıtılmış yağ asitleri
382370009000,Diğer sınai yağ alkolleri
382499550000,"Mono, di ve tri stearatlardan oluşan gliserin karışımları"
382499920039,Esas olarak organik bileşiklerden oluşan 20 °C'de sıvı formunda olan diğer kimyasal ürünler veya müstahzarlar
382499930019,Başka yerde belirtilmeyen veya yer almayan esas olarak organik bileşiklerden oluşan diğer kimyasal ürünler/müstahzarlar
382499961000,Farklı anyon içeren bileşiklerin tuzlarının karışımları
382499969021,Akümülatörler için kadmiyum oksit veya nikel hidroksit esaslı bileşikler
382499969068,Kimya sanayii veya kimya sanayiine bağlı sanayilerde kullanılan diğer kimyasal ürünler ve müstahzarlar
390110100000,"Lineer polietilen (özgül kütlesi < 0, 94 (ilk şekilde)"
390110900011,"Alçak yoğunluk polietilen (özgül kütlesi < 0, 94 (ilk şekilde)"
390110900012,"Polietilen kompaundları (özgül kütlesi < 0, 94 (ilk şekilde)"
390120100000,"Polietilen; özgül kütlesi >= 0,958, Al <= 50 mgr./kg, Ca <= 2 mgr./kg, Cr <= 2 mgr./kg, (Devamı resmi gazetede)"
390120900011,"Yüksek yoğunluk polietilen; özgül kütlesi = >0, 94 (ilk şekilde)"
390120900012,"Polietilen kompaundları; özgül kütlesi = >0, 94 (ilk şekilde)"
390120900019,"Diğer etilen polimerleri; özgül kütlesi = >0, 94 (ilk şekilde)"
390130000000,Etilen (vinil asetat kopolimerleri (ilk şekilde)
390140000000,"Etilen-alfa-olefin kopolimerleri; özgül kütlesi 0,94?ten az olanlar (ilk şekilde)"
390190800011,Etilen propilen kopolimeri (ilk şekilde)
390190800019,Etilen polimerlerinin diğerleri (ilk şekilde)
390210000011,Polipropilen bileşikleri (kompaundları); ilk şekillerde
390210000019,Diğer polipropilen; ilk şekillerde
390230000011,Polipropilen kopolimerleri bileşikleri (kompaundları); ilk şekillerde
390230000019,Propilen kopolimerlerinin diğerleri; ilk şekillerde
390319000000,Diğer polistiren
390330000000,Akrilonitril-butadien-stiren (abs) kopolimerleri (ilk şekilde)
390390200000,Bromlanmış polistiren (%58=
390390900000,Diğer stiren polimerleri (ilk şekilde)
390410000011,PVC Polivinil klorür (karıştırılmamış) (ilk şekilde) emülsiyon (E-PVC)
390410000019,PVC Polivinil klorür (karıştırılmamış) (ilk şekilde) diğerleri
390421000000,PVC-plastifiye edilmemiş (ilk şekilde)
390422000000,PVC-plastifiye edilmiş (ilk şekilde)
390440000000,Diğer vinil klorür kopolimerleri (ilk şekilde)
390469200000,Fluoroelastomer FKM
390469800000,Diğer florlu polimerler
390529000000,Vinil asetat kopolimerleri (diğer) (ilk şekilde)
390530000000,Vinil alkol (hidrolize olmamış) (ilk şekilde)
390591000000,Vinil kopolimerler (ilk şekilde)
390610000000,Polimetil metakrilat (ilk şekilde)
390690900000,Diğer akrilik polimerler (ilk şekilde)
390710000000,Poliasetaller (ilk şekilde)
390720110000,Polietilen glikoller; ilk şekilde
390720200000,Diğer polieter alkoller; ilk şekilde
390720990000,Diğer polieterler (ilk şekilde)
390730000000,Epoksi reçineler (ilk şekilde)
390740000000,Polikarbonatlar (ilk şekilde)
390761000000,"Poli(etilen tereftalat); ilk şekilde, viskozitesi=>78 ml/g"
390769000000,"Poli(etilen tereftalat); ilk şekilde, viskozitesi<78 ml/g"
390799800000,"Diğer poliesterler; doymuş, ilk şekilde"
390810000011,"Poliamid -6, -11, -12, -6,6, -6,9, -6,10 veya -6,12 bileşikleri (kompaundları); ilk şekillerde"
390810000019,"Poliamid -6, -11, -12, -6,6, -6,9, -6,10 veya -6,12'nin diğerleri; ilk şekillerde"
390890000000,Diğer poliamidler (ilk şekilde)
390931000000,"Poli (metilen fenil izosiyanat) (ham MDI, polimerik MDI) (ilk şekilde)"
390939000000,Diğer amino reçineler (ilk şekilde)
390940000000,Fenolik reçineler
390950100000,"2, 2-dietanol ve 4, 4-metilendisiklohekzilen diizosiyanat pol.N, N-dimetil asetamid çöz.(polimer=>%50)"
390950900000,Diğer poliüretanlar (ilk şekilde)
391000000011,Silikon yağları (ilk şekillerde)
391000000012,"Dispersiyon, emilsiyon, süspansiyon ve çözeltiler (ilk şekillerde)"
391000000019,Diğer silikonlar (ilk şekilde)
391110000000,"Petrol reçineleri, kumaron, inden/kumaron; inden reçineleri, politerpenler (ilk şekilde)"
391190110000,"Kondensasyon/çevrilme polimerizasyon ürünlerinden poli(oksi-1,4-fenilensulfonil-1,4-fenilenoksi-1,4- -1,4-fenilen)"
391190130000,"Kondensasyon/çevrilme polimerizasyon ürünlerinden poli (tiyo-1, 4-fenilen)"
391190190000,Kondensasyon/çevrilme polimerizasyonun diğer ürünleri
391190920000,"p-Krezol , hidrojene edilmiş viniltoluen ve A-metil stiren kopolimerleri"
391190990000,"Diğer petrol, kumaron, inden reçineler, politerpenler, polisülfürler, polisülfolar (ilk şekillerde)"
391220190011,"Diğer seliloz nitratları; plastifiye edilmemiş;azot<%12, 6, su/alkol> %25 ile ıslatılmış"
391239850000,Diğer selüloz eterleri
391290900000,"Diğer selüloz, kimyasal türevleri (başka yerinde belirtilmeyen) (ilk şekilde)"
391390001000,Dekstran (ilk şekilde)
391390009000,Diğer tabii polimerler (aljinik asit gibi) ve tadil edilmiş tabii polimerler (ilk şek.)
400211001011,"Stiren; budatien kauçuktan (SBR) lateks, nakil vasıtası iç, dış lastiği imal/yenilenmesinde kullanılacak"
400211001012,"Karboksilenmiş stiren; budatien kauçuktan (XSBR) lateks, iç, dış lastiği imal/yenilenmesinde kullanılacak"
400211009000,"Stiren-butadien kauçuk,karboksilenmiş stiren-butadien kauçuk;diğer amaçlı"
400219101000,"Emilsiyon polimerizasyonu ile üretilen stiren-butadien kauçuk (E-SBR) nakil vasıtası iç, dış lastiği imal/sırt geçirme"
400219109000,Emilsiyon polimerizasyonu ile üretilen stiren-butadien kauçuk (E-SBR) (balya halinde) diğer hallerde
400219201000,"SBS termoplastik elostomerler (granül, parça, toz halinde) nakil vasıtası iç, dış lastiği imal ve sırt geçirme"
400219209000,"SBS termoplastik elostomerler (granül, parça, toz halinde) diğer hallerde"
400219301000,"Solisyon polimerizasyonu ile üretilen stiren-butadien kauçuk (E-SBR) nakil vasıtası iç, dış lastiği imal/sırt geçirme"
400219309000,Solisyon polimerizasyonu ile üretilen stiren-butadien kauçuk (E-SBR) (balya halinde) diğer hallerde
400219901000,"Stiren-butadien kauçuk(SBR),karboksilenmiş stiren-butadien kauçuk(XSBR); nakil vasıtası iç/dış lastiği imal/sırt geçirme"
400219909000,"Stiren-butadien kauçuk(SBR),karboksilenmiş stiren-butadien kauçuk(XSBR); diğer yerlerde kullanılan"
400220001000,Butadien kauçuk (BR); nakil vasıtası iç ve dış lastiği imal ve yenilenmesi için
400220009000,Butadien kauçuk (BR); diğer yerlerde kullanılan
400239001000,Halojenli izobüten-izopren kauçukları (CIIR/BIIR); nakil vasıtası iç ve dış lastiği imal ve yenilenmesinde kullanılan
400259009000,"Akrilonitril - butadien kauçuk (NBR); diğer şekillerde, diğer yerlerde kullanılan"
400260001000,İzopren kauçuk (IR); nakil vasıtası iç ve dış lastiği imal/yenilenmesinde kullanılan
400270001000,Etilen - propilen - konjuge olmamış dien kauçuk (EPDM); nakil vasıtası iç ve dış lastiği imal/yenilenmesinde kullanılan
400270009000,Etilen - propilen - konjuge olmamış dien kauçuk (EPDM); diğer yerlerde kullanılan
400299901900,Taklit kauçuklar; diğer amaçlı
540220002912,"Polyesterden yüksek mukavemetli iplikler; dikiş iplikleri hariç, dtex>660, parekende olmayan"
550120000000,Sentetik filament demetleri; poliesterlerden
550311000000,Aramidlerden sentetik devamsız lifler (işlem görmemiş)
550320000000,Sentetik devamsız lifler; poliesterlerden (işlem görmemiş)
292320001000,Lesitin
292320009000,Diğer fosfoaminolipidler
292419000029,Diğer asiklik amidler
292429100000,Lidokain (INN)
292429700048,Diğer siklik amidler (siklik karbamatlar dahil) ve türevleri ve bunların tuzları
293220909019,Diğer laktonlar
293359950028,Piperazinin diğer tuz ve türevleri
293359950031,Siprofloksasin
293359950038,Yapısında bir pirimidin halkası/piperazin halkası olan diğer bileşikler
293369800019,Yapısında başka bir halkaya yapışmamış bir triazin halkası olan diğer bileşikler
293590900029,Diğer sülfonamidler
293621000012,Vitamin A asetat
293621000019,Vitamin A 'nın diğer türevleri
293622000012,Tiyamin hidroklorür
293624000013,Kalsiyum pantotanat
293624000019,Vitamin B3/B5'in diğer türevleri
293625000012,Piridoksin hidroklorür
293627000011,Vitamin C [L-veya DL-askorbik asit (INN) ]
293628000012,Tokoferil asetat
293629000046,Vitamin A+D3
293629000049,Diğer vitaminler ve türevleri
293690009029,Diğer provitaminler ve vitaminlerin karışımları
293712002000,Ensülin tuzları
293719000019,Diğer hormonlar
293721000014,Prednizolon (dehidrohidrokortizon)
293722000000,Kortikosteroidal hormonlarının halojenlenmiş türevleri
293723000012,Projestojenler (over hormonlar)
293729000019,"Diğer steroidal hormonlar, bunların türevleri"
293750000000,"Prostaglandinler, thromoxanlar ve leukotrienler vb. türevleri"
293790000000,Diğer hormonlar ve bunların türevleri
293890901000,Saponinler
293890909019,"Glikozitler vb. tuzları, eterleri, esterleri ve diğer türevleri; diğer"
293919000014,Apomorfin
293979909014,Pilokarpin
293979909029,"Bitkisel kökenli diğer alkaloidler ve bunların tuzları, eterleri, esterleri ve diğer türevleri"
294110000011,Amoksilin trihydrate
294110000034,Sultamycillin tosylat
294130000012,Tetrasiklin hcı
294150000019,Erithromisinin diğer türevleri
294190000023,Gentamisin sülfat
294190000039,Linkomisin'in diğer türevleri; bunların tuzları
294190000047,Sefuroksim aksetil
294190000048,Diğer sefalosporinler ve türevleri; bunların tuzları
294190000051,Netilmisin sülfat
294190000059,Diğer antibiyotikler
300190200000,Tedavide veya korunmada kullanılmak üzere hazırlanmış insan menşeli diğer maddeler
300190910000,Hayvan menşeli heparin ve tuzları
300190989000,Tedavide veya korunmada kullanılmak üzere hazırlanmış hayvan menşeli diğer maddeler
300212000012,Aglutinan serumları
300212000013,Gamma-globulin
300212000021,Hemoglobin
300212000022,Kan globulinleri
300212000023,Serum globulinleri
300212000029,Diğer kan fraksiyonlarının diğerleri
300213000000,Karışım olmayan bağışıklık ürünleri; dozlandırılmamış veya perakende satışa uygun şekilde ambalajlanmamış/hazırlanmamış
300215000000,Dozlandırılmış veya perakende satışa uygun şekilde ambalajlanmış/hazırlanmış bağışıklık ürünleri
300219000000,Bağışıklık sağlayan diğer ürünler
300220001000,Çocuk felci aşıları
300220002011,Kızamık aşısı
300220002013,BCG aşısı
300220002014,Karma aşı (DBT)
300220002019,İnsanlar için kullanılan diğer aşılar
300290501019,Diğer fermentler
300290509000,Diğer mikroorganizma kültürleri
300290900019,"Diğer aşılar, toksinler, mikroorganizma kültürler"
300310000000,Penisilanik asit bünyeli penisilinler/türevleri veya streptomisinler/türevlerini içeren ilaçlar (dozlandırılmamış)
300320000000,Diğer antibiyotikleri içeren ilaçlar (dozlandırılmamış)
300390000000,"Tedavide veya korunmada kullanılmak üzere birbirleriyle karıştırılmış diğer ilaçlar; dozlandırılmamış, ambalajlanmamış"
300410000000,Penisilanik asit bünyeli penisilinler veya bunların türevleri (dozlandırılmış veya perakende satış için)
300420000000,Antibiyotikleri içeren ilaçlar (dozlandırılmış veya perakende satış için ambalajlanmış)
300431000000,İnsülin içeren ilaçlar (dozlandırılmış veya perakende satış için ambalajlanmış)
300432000000,"Böbreküstü bezi hormonlarını, türevlerini ve yapısal benzerlerini içeren ilaçlar; dozlandırılmış veya perakende için"
